"Reg","Type","CN","Manufacturer","Owner","DateRegistered","Status"
"5Y-BTO","BEECHKING AIR 200","BB-407","BEECH AIRCRAFT COMPANY","SOARING EAGLE CHARTER(PTY)LTD T/A FREEBIRD AVIATION P.O. BOX 52348 SAXONWOLD-2132LESSEE:748 AIR SERVICES LTD P.O. BOX 53012-00200 NAIROBI KENYA","2006-02-31","EXPIRED"
"5Y-BTP","DHC-8-102","104","DE-HAVILLAND AIRCRAFT OF CANADA","OWNER: AEROCENTURY CORP OF 1440 CHAPIN AVE, SUITE 310,BURLINGAME, CALIFORNIA 94010, FINANCIER:ONE SOUTH BROAD STREET, 14TH FLOOR, LOC01-5997 PHILADPHIA, PENNSYLVANIA, USA, LESSEE: TRIDENT ENTERPRISES LTD, , ","2006-03-31","VALID"
"5Y-BTT","BEECH 1900C-","UC 125","BEECH AIRCRAFT COMPANY","OWNER:SANDHOE INVESTMENT KENYA LIMITEDP.O. BOX 3732-00506 NAIROBILESSEE: EXCUTIVE TURBINE KENYA LTD P.O. BOX 3732-00506NAIROBI, FINANCIER: BARCLAYS BANK HEADOFFICEP.O. BOX 30120-00100 NAIROBI","2006-09-31","VALID"
"5Y-BTU","DORNIER","228-201-8030","DORNIER AIRCRAFT COMPANY","HH LOGISTIC AP SOLHOJGAARD SVEJ. P.O. BOX 61 DK 4000 ROSKILDE DENMARD. LESSEE:P.O.BOX 989,00100 NAIROBI.","2006-11-31","VALID"
"5Y-BTV","BEECHCRAFT B200 SUPER KING AIR","BB-1342","BEECH AIRCRAFT COMPANY","NIELS BIRKE BRUEL LANGEBAEKGARDSVEJ 3 4772 LANGEBAEK DENMARK","2006-10-31","VALID"
"5Y-BTW","AS 350","B3-3399","EUROCOPTER","LADY LORI (K) LTD, P. O. BOX 1687, NAIROBI, ","2007-02-31","VALID"
"5Y-BTX","F 27 MARK 500","10633","FOKKER SERVICES B.V","OWNER: BAC LEASING LTD LESSEE: KNIGHT AVIATIONP.O BOX 10950 –00400 NAIROBI ","2006-04-31","EXPIRED"
"5Y-BTY","BEECHCRAFT 1900C","UC-107","BEECH AIRCRAFT COMPANY","OWNER: AIRCRAFT AFRICA CONTRACTS CO. (PTY) LTD.HANGAR 201 GATE 7 , LANSERIA INTER. AIRPORTP.O. BOX 582LANSERIA 1748 RSA, ","2007-04-31","VALID"
"5Y-BTZ","DHC-8-102","203","DE-HAVILLAND AIRCRAFT OF CANADA","AIRKENYA EXPRESS LTDP.O BOX 30353NAIROBI","2006-05-31","VALID"
"5Y-BUA","CAMERON","A415","CAMERON BALLOONS LTD","OWNER: ADVENTURES ALOFT (K) LTD, LESSEE: P.O BOX 40683-00100 , NAIROBI, ","2006-05-31","VALID"
"5Y-BUB","CAMERON A415","10819","CAMERON BALLOONS LTD","ADVENTURES ALOFT LTDP.O BOX 40683-00100NAIROBI","2006-07-31","VALID"
"5Y-BUC","CESSNA 208B","208B-0400","CESSNA AIRCRAFT COMPANY","CEMCRETE (PTY) LTD P.O BOX 43236 INDUSTRIA 2042 SOUTH AFRICA LESEE:FLEX AIR CARGO P.O. BOX 3305-00506 NAIROBI","2006-09-31","VALID"
"5Y-BUE","ROTOWAY EXEC","162F-6467","ROTAWAY INTERNATIONAL","SUN LODGES LTD. P.O. BOX 24833 KAREN,00502NAIROBI.","2006-08-31","EXPIRED"
"5Y-BUG","CESSNA 206","U206F-02280","CESSNA AIRCRAFT COMPANY","MARK CARRINGTON ROSS P. O. BOX 60157 NAIROBI","1994-05-31","VALID"
"5Y-BUH","CESSNA T188C","T18803435T","CESSNA AIRCRAFT COMPANY","DOMINION FARMS LTD.PRIVATE BAG SIAYA KENYA.","2006-09-31","VALID"
"5Y-BUI","CAMERON A-250 HOTAIR BALLON","1697","CAMERON BALLOONS LTD","CO.BALLONING KENYA LTD.P.O. BOX 58064 NAIROBI.","2006-09-31","VALID"
"5Y-BUJ","CESSNA","U206F,U20601995","CESSNA AIRCRAFT COMPANY","SUNITA.K.PATEL. P.O. BOX 45261NAIROBI","2006-09-31","VALID"
"5Y-BUK","S2R-T65-017C A/RES","765-012DC","AYRES CORPORATION","OWNER: FARMLAND AVIATION LTD, P. O. BOX 2226, NAKURU, ","2007-03-31","VALID"
"5Y-BUL","CESSNA","U206U,U206-05617","CESSNA AIRCRAFT COMPANY","TERRES DES HOMMES NEDER LANDS. P.O. BOX 76340-0058NAIROBI.","2006-12-31","VALID"
"5Y-BUN","ATR 42-320","205","AEROSPATIALE","EXECUTIVE TURBINE (PTY) LTD HANGAR 106,GATE 14 LANSERIA AIRPORTP.O. BOX 582LANSERIA SOUTH AFRICA. LESSEE: FIVE FOURTY AVIATION P.O. BOX 10293-00100NAIROBI","2006-11-31","VALID"
"5Y-BUO","KAVANGAH B400 SERIAL","NO.B400-351","KAVANAGH BALLOONS AUSTRALIA PTY","GOVERNORS BALLOON SAFARIS LTD, P. O. BOX 48217-00100, NAIROBI, ","2007-06-31","VALID"
"5Y-BUP","CAMERON BALLON.A-315","10878","CAMERON BALLOONS LTD","AFRICAN ANTICS LTD.P.O.BOX 38646-00623NAIROBI.","2007-01-31","VALID"
"5Y-BUQ","CESSNA 208B-","208B0366","CESSNA AIRCRAFT COMPANY","AIRCRAFT AFRICA CONTRACTS CO.(PTY)LTD. P.O.BOX 582 LANSERIA 1748 LESSEE: P.O.BOX 3732-00506 NAIROBI.","2007-03-31","VALID"
"5Y-BUR","CESSNA","208B-208B0239","CESSNA AIRCRAFT COMPANY","NORDIC AVIATION CONTRACTOR STRATUSUVEJ/2 7190 BILLUND DENMARK.LESSEE:P.O.BOX 59228-00200NAIROBI.","2006-12-31","VALID"
"5Y-BUS","KAVANAGH B-350","B350-350","KAVANAGH BALLOONS AUSTRALIA PTY","GOVERNORS BALLOON SAFARRIS LTDP.O BOX 48217-00100 NAIROBI","2007-06-31","VALID"
"5Y-BUT","ATR","42-320-240","AEROSPATIALE","OWNER:AIRCRAFT AFRICA CONTRACTS(PTY)LTD.HANGAR106,GATE 14.LANSERIA1749,SOUTH AFRICA.LESSEE:FIVE FORTY AVIATION LTD. P.O. BOX 10293-00100NAIROBI KENYA.","2007-02-31","VALID"
"5Y-BUU","CESSNA 172N","17271396","CESSNA AIRCRAFT COMPANY","COLLIN DAVIES P.O. BOX 40813NAIROBI","2007-01-31","VALID"
"5Y-BUV","DORNIER 228-201","8050","DORNIER LUFTFANRT GmbH,GERMANY.","NIMESIS GmbH FLORHEIMER STRASSE 1 65479 RAUNHEIM GERMAY LESSEE: KASAS LIMITEDP.O.BOX 1218 00502NAIROBI.","2007-02-31","VALID"
"5Y-BUW","DONIER 228-200","8034","DORNIER LUFTFANRT GmbH,GERMANY.","OWNER:NEMESIS GMBH FLORSHEIMER STRI 65479 RAUNHEIM GERMANY LESSEE:KASAS LTDP.O. BOX 1218-0052NAIROBI.","2007-04-31","EXPIRED"
"5Y-BUX","DONIER 228-200","8080","DORNIER LUFTFANRT GmbH,GERMANY.","OWNER: LOGISTIC APS SOLHAJGARD SVEJ 6,V0R FRUE 4000 DK. ROSKILDE LUFTRAVN DENMARK LESSEE: AIRTRAFFIC LTD P.O. BOX 989-00606NAIROBI KENYA","2007-05-31","VALID"
"5Y-BUY","PIPER PA 25-235","25-7956032","PIPER AIRCRAFT COMPANY","AERIAL AD AVIATION LIMITEDP.O. BOX 24198-00502NAIROBI.","2007-05-31","EXPIRED"
"5Y-BUZ","DHC 8-102.","253","BOEING OF CANADA LTD","OWNER:BAC LEASING LTD.LANCASTER BUSINESS PARK.AVIATION WAY.SOUTHLAND-ON-SEA.ESSEX 552 6UN ENGLAND.LESSEE:FLY 540 AVIATION LTD.2ND FLOOR,ABC,PLACE WESTLANDS. P.O BOX 10293-00100 NAIROBI.","2007-07-31","VALID"
"5Y-BVA","CAMERON Z-350","10842","CAMERON BALLOONS LTD","BALLOON SAFARIS LTDP.O. BOX 43747-00100 NAIROBI","2007-07-31","VALID"
"5Y-BVD","ATR42-320","115","AEROSPATIALE","OWNER:ACL AIR LIMITED THE PLAZA NEW STREETSWORDS CO.DUBLIN IRELANDLESSEE:FLY FIVE FORTY AVIATION LIMITED ABC PLACE WESTLANDS P.O BOX 10293-00100 NAIROBIKENYA ","2007-10-31","VALID"
"5Y-BVE","CESSNA","210E-21058671","CESSNA AIRCRAFT COMPANY","OWNER: CHRISTOPHER MARIA SCHNERR P.O. BOX 5562DIANI.80401 DIANI BEECH.","","EXPIRED"
"5Y-BVF","FOKKER 27-500","10627","FOKKER SERVICES B.V","OWNER: BAC LEASING LTD LANGASTERBUSSINESS PARK AVIATION WAX SOUTH-LAND-ON-SEAESSEX 552GUN ENGLAND LESEE: FLY FIVE FORTY AVIATION LTDABC WESTLANDS P.O.BOX 10293-00100 NAIROBI","2007-11-31","EXPIRED"
"5Y-BVG","BEECHCRAFT 1900D","UE-62","BEECH AIRCRAFT COMPANY","OWNER:AIRCRAFT AFRICA CONTRACTS(PTY)LTD. P.O BOX 582,LANSERIA1748, SOUTH AFRICA.LESSEE:EXECUTIVE TURBINES (K) LTDP.O. BOX 3732-00506NAIROBI,KENYA FINANCIER: STANDARD BANK VEHICLE AND ASSETS FINANCE P.O. BOX 8296, JOHANNESSBURG, 2001 ","","EXPIRED"
"5Y-BVI","BEECH 1900C","UC-55","BEECH AIRCRAFT COMPANY","OWNER: ALS LTD P.O. BOX 41937-00100 CREDIT, CORPORATION, 10511, EAST CENTRAL AVENUE,, WICHITA KANSAS, 67206 USA, FINANCIER:BARCLAYS BANK OF KENYA LTD, P.O. BOX 4661-00200, , NAIROBI, ","2008-04-31","VALID"
"5Y-BVK","CESSNA 206H","20608289","CESSNA AIRCRAFT COMPANY","KUNDAN SIGHN CONSTRUCTION LIMITED P.O.BOX 15018,00509 LANGATA, NAIROBI","2007-11-31","VALID"
"5Y-BVL","CESSNA A185F","18503718","CESSNA AIRCRAFT COMPANY","OWNER:MR TOBY JAMES DUNN & MR.DONRRO REX DONN P.O.BOX 2226 NAKURU","2007-11-31","EXPIRED"
"5Y-BVM","EUROCOPTER AS340B3","4333","EUROCOPTER","OWNER :KING STING AVIATION LTD 43/45 LA MOTTESTREET ST HELLIER JERSY CHANNEL ISLAND JE4 ASDLESSEE: TROPIC AIR LITED P.O.BOX 161-10400 NANYUKI","2007-12-31","VALID"
"5Y-BVO","DHC - 8 -102","007","DE-HAVILLAND AIRCRAFT OF CANADA","ALSE EURIPE LTD ALDWYCH HOUSE 81 ALDYCH LONDON WC2B 4RPLESSEE: ALS LTD P.O. BOX 41937-00100 NAIROBI","2007-12-31","VALID"
"5Y-BVP","BEECH 1900","UE 136","BEECH AIRCRAFT COMPANY","EROS AIRCRAFT SERVICES CC 452 INDEPENDENCE AVENUE, WIND HOEK NAMIBIA P.O. 36611 WINDHOEK. LESSE: COMPION AVIATION SOUTH AFRICA (PTY) LTD C/O WEST CENTRAL 18 FRICKER ROAD P.O. BOX 111OVO JOHANNESBURG.SUB LESSEE: AIS LTD P.O. BOX 41937-100 NAIROBI","2008-01-31","VALID"
"5Y-BVQ","HS 748-2B","1778","BRITISH AEROSPACE HAWKER SIDDELEY","748 AIR SERVICES LLC GROSVENOR COURT ALBERT ROAD RAMSEY ISLE OF MAN,UK LESEE:748 AIR SERVICES LTD P.O. BOX 53012-00200 NAIROBI, KENYA","2008-01-31","VALID"
"5Y-BVR","BELL 206L-1","45281","BELL HELICOPTER COMPANY","L.I PARTNERSHIPP.O.BOX 30CAPETOWN INTERNATIONAL AIRPORTLESSEE: PENIL AIR LTDP.O. BOX 4842-00506 NAIROBI","2008-01-31","VALID"
"5Y-BVS","CESSNA 208B","208B-2007","CESSNA AIRCRAFT COMPANY","CESSNA FINANCE CORPORATION P.O. BOX 308-100N BROADWAY, SUITE 600 WICHITA, KASAS 67200-0308 USALESSEE:CMC AVIATION LTD P.O.BOX 44580-00100 WILSON AIRPORT NAIROBI","2008-06-31","VALID"
"5Y-BVT","BEECH 1900D","UE 226","BEECH AIRCRAFT COMPANY","PARMTRO INV. NO 52 (PTY) LTDP.O. BOX 36611 WINDHOEK NAMIBIA. LESSEE: AIS LTD P.O. BOX 41937-100 NAIROBI, FINANCIER: STANDARD BANK OF SOUTH AFRICA P.O. BOX 62184 MARSHALL TOWN 2107, JOHANNES BURG 2001","2008-04-31","VALID"
"5Y-BVU","BEECH 200","BB-286","BEECH AIRCRAFT COMPANY","BRIAN DAVIDROOS 452 INDEPENDENCE AVENUE, WIND HOEKP.O. BOX 36611 WINDHOEK NAMIBIA. LESSE: COMPION AVIATION SOUTH AFRICA (PTY) LTD 452 INDEPENDENCE AVENUEP.O. BOX 80300 WINDHOEK-NAMIBIA SUB LESSEE: AIS LTD P.O. BOX 41937-100 NAIROBI","2008-04-31","VALID"
"5Y-BVV","BEECH 1900C","UB-29","BEECH AIRCRAFT COMPANY","BRIAN DAVIDROOS452 INDEPENDENCE AVENUE, WIND HOEKP.O. BOX 36611 WINDHOEK NAMIBIA. LESSEE: COMPION AVIATION (SA)PTY LTD P.O. BOX 80300, WINDHOEK-NAMIBIA, SUB LESSEE:ALS LIMITED P.O. BOX 41937-00100 NAIROBI","2008-05-31","VALID"
"5Y-BVW","B400","B400-381","KAVANAGH BALLOONS ","OWNER:GOVERNORS BALLOON SAFARIS LTD. P.O BOX 48217-00100. NAIROBI.","1900-01-31","VALID"
"5Y-BVX","BEECH 1900D","UE-101","BEECH AIRCRAFT COMPANY","PARMTRO INVESTMENT NO 52 (PTY) LTDP.O. BOX 80300, WINHOEK-NAMIBIA, lESSOR: COMPION AVIATION SA (PTY) LTD 452 INDEPENCE AVENUE P.O. BOX 80300, WINHOEK, NAMIBIA. LESSEE: ALS LIMITED P.O. BOX 41937-00100 NAIROBI, FINANCIER: STANDARD NBANK OF SOUTH AFRICA LTD","2008-07-31","VALID"
"5Y-BVY","EMBRAER EMB-135 LR","145599","EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICAL SA","AREF INVESTMENT GROUPP.O. BOX 24100 SAFAT 13101, KUWAIT.LESSEE:ALS LIMITED P.O. BOX 41937-00100 NAIROBI ","2008-07-31","VALID"
"5Y-BVZ","EMBRAER EMB-135 LR","145661","EMBRAER-EMPRESA BRASILEIRA DE AERONAUTICAL SA","AREF INVESTMENT GROUPP.O. BOX 24100 SAFAT 13101, KUWAIT. LESSEE:ALS LIMITED P.O. BOX 41937-00100 NAIROBI ","2008-07-31","VALID"
"5Y-BWA","CAMERON A- 140","1045","CAMERON BALLOONS LTD","SUNBIRD LODGE LTDP.O. BOX 13923-20100NAKURU","2008-10-31","VALID"
"5Y-BWB","PIPER PA18-150","18-7819","UNIVAIR A/C CORPORATION","KENYA WILDLIFE SERVICEP.O. BOX 40241-00100NAIROBI ","2008-10-31","VALID"
"5Y-BWC","PA18-150","18-5928","PIPER AIRCRAFT CORPORATION","FARMLAND AVIATION LIMITEDP.O. BOX 2226-20100 NAKURU ","2008-11-31","EXPIRED"
"5Y-BWE","CESSNA 172L","17259613","CESSNA AIRCRAFT COMPANY","EDWIN FIFI ASANTE P.O. BOX 30473-00100 NAIROBI","2008-10-31","VALID"
"5Y-BWF","CAMERON Z 425LW","C.N.11090","CAMERON BALLOONS LTD","BALLOON SAFARIS LTD, P. O. BOX 43747-00100, NAIROBI, ","2008-11-31","VALID"
"5Y-BWG","DASH 8-311","406","BOMBARDIER CANADA","AEROCENTURY CORPORATION 1440 CHAPIN AVE BURLINGAMME, CALIFORNIA USA LESEE; CMC AVIATION , P. O. BOX 44580-00100, NAIROBI, ","2008-11-31","VALID"
"5Y-BWH","CESSNA F172M","172-01408","REIMS AVIATION","LAPWING LTD, P. O. BOX 57792-00200, NAIROBI, ","2008-11-31","EXPIRED"
"5Y-BYX","CESSNA F406","0010","CESSNA AIRCRAFT COMPANY","DAVID SETONP.O. BOX42730-00100NAIROBI ","2008-01-31","VALID"
"5Y-BZA","CESSNA FR 172J 90","497","CESSNA AIRCRAFT COMPANY","JOHN HENRY ATKINSON P.O. BOX 90463,MOMBASA.","1997-05-31","VALID"
"5Y-BZN","PIPER PA 34-200T","34-8070307","PIPER AIRCRAFT COMPANY","MAR-ELECTRICP.O. BOX 80429MOMBASA.","","EXPIRED"
"5Y-BZZ","STEEN SYBOLT","B-1","STEEN AEOLABS","MARK CARRINGTON ROSSP. O. BOX 58828 NAIROBI","1998-03-31","EXPIRED"
"5Y-CAP","MAULE ROCKET M-4-210C","1055-C","MAULE AIRCRAFT CORPORATION","DR.RICHARD HOARE P.O. BOX 68200-00200NAIROBI","2007-06-31","EXPIRED"
"5Y-CCH","PIPER PA.34-200T","34-7970112","PIPER AIRCRAFT COMPANY","MANJIT SINGH KALSI P.O. BOX 82370 MOMBASA","","EXPIRED"
"5Y-CEK","CESSNA - 210 N","64555","CESSNA AIRCRAFT COMPANY","PHOENIX AVIATION LTD,P. O. BOX 49493,NAIROBI","","EXPIRED"
"5Y-CHR","CESSNA","U206F-206-02472.","CESSNA AIRCRAFT COMPANY","YELLOW WINGS AI4R SERVICES LTD. P.O. BOX 4714NAIROBI.","2006-10-31","VALID"
"5Y-CIV","CESSNA 206-","206-08256","CESSNA AIRCRAFT COMPANY","OWNER: CIVICON LTD, LESSEE: P.O BOX 99491, MOMBASA, ","2006-04-31","VALID"
"5Y-CKK","CESSNA 210L","210-59950","CESSNA AIRCRAFT COMPANY","GEORGE STEEWEWART , KENWORTHY SANDERS, P. O. BOX 53 UKUNDA , KENYA, ","2005-08-31","EXPIRED"
"5Y-CMA","CESSNA 206","U20604797","CESSNA AIRCRAFT COMPANY","OWNER: AFRICAN CHRISTIAN MISSION DEA, ACM INTERNATIONAL, P O BOX 365, SEELYVILLE, IN. 47878-0365, LESSEE: AIM AIR, P O BOX 21171, NAIROBI, ","2001-07-31","VALID"
"5Y-CMG","CESSNA","185A","CESSNA AIRCRAFT COMPANY","OWNER: LARKIN HOLDINGS P.O. BOX 4439 CH 8022, ZURICH SWITZERLAND LESSEE: HELIPROPS LTD P.O. BOX 24498,NAIROBI","1998-06-31","EXPIRED"
"5Y-CMO","PIPER PA.23-250","27-2497","PIPER AIRCRAFT COMPANY","OWNER: AVRO LEASING LTD, ORDINANCE HOUSE 31 PIER ROAD, ST HELIER JERSEY JE4 8PW, LESSEE: TROPIC AIR LTD, P O BOX 161, NANYUKI, ","2002-06-31","EXPIRED"
"5Y-COP","BELL","206L-4","BELL HELICOPTER COMPANY","KENYA POLICE DEPARTMENT P.O BOX 30083-00100 NAIROBIFINANCIER: GOVERNMENT OF KENYA","2008-10-31","VALID"
"5Y-COR","CESSNA 182N","18260172","CESSNA AIRCRAFT COMPANY","CORNELIS J. ROEST & LOUISE N. ROEST, P. O. BOX 572, KAREN, 00502, ","2003-10-31","VALID"
"5Y-CSZ","PIPER PA28","2811049","PIPER AIRCRAFT COMPANY","DANIEL SZLAPAK, P.O. BOX 40842, NAIROBI, ","","VALID"
"5Y-CUB","PA18-150","9952C","PIPER /CUB CRAFTERS","ALEXANDER PROUSEK, P. O. BOX 259, NANYUKI 10400, ","2006-10-31","EXPIRED"
"5Y-DAC","DHC-8-106","251","BOEING OF CANADA DE HAVILLAND DIVISION ","OWNER:TRIDENT ENTERPRISES LTD, P. O. BOX 13501, NAIROBI, LESSEE:CMC AVIATION LTD P.O. BOX 44580-00100 NAIROBI KENYA FINANCIER: EXPORT DEVELOPMENT CANADA 151 O'CONNOR STREET OTTAWA CANADA KIA IK3","2008-11-31","VALID"
"5Y-DAL","HUSKY A-1","1227","AVIAT INC","KENYA WILDLIFE SERVICES P.O. BOX 54582 NAIROBI","1994-05-31","EXPIRED"
"5Y-DCM","CESSNA 310R","310R0152","CESSNA AIRCRAFT COMPANY","AFRICAN EXPRESS AIRWAYS LTD.,PAN AFRICAN AIRWAYS LTD.,P.O. BOX 4356NAIROBI.","","EXPIRED"
"5Y-DER","PIPER PA.32-301","32-8006095","PIPER AIRCRAFT COMPANY","MICHAEL CHARLES ANTHONY DYER P.O. BOX 137 NANYUKI NAIROBI","1992-12-31","VALID"
"5Y-DEV","PIPER PA.30","30-1419","PIPER AIRCRAFT COMPANY","PIONEER AIRLINES LTD.,B.C.C.I. FINANCE (K) P.O. BOX 43356,NAIROBI.","","EXPIRED"
"5Y-DHL","BEECH 1900","UC-100","BEECH AIRCRAFT COMPANY","ALS LIMITED, P O BOX 41937, NAIROBI, FINANCIER: BARCLAYS BANK OF KENYA LTD, P O BOX 46661 NAIROBI, ","2002-06-31","VALID"
"5Y-DHS","CESSNA A185F","185-03308","CESSNA AIRCRAFT COMPANY","MARCO BRIGHETTI P.O. BOX 15026-00509NAIROBI, KENYA","2007-03-31","VALID"
"5Y-DHW","BEECH 1900","UB-4","BEECH AIRCRAFT COMPANY","OWNER: NIELS BIRKE BRUEL LANGE BAEKGAARD 4772, LANGEBAEKGARD, DENMARK LESSEE: AVIATION ASSISTANCE A/S COPENHAGEN AIRPORT, ROSKILDE DK-4000 ROSKILD, DENMARK SUB-LESSEE: AIRCRAFT LEASING SERVICES P.O. BOX 41937,NAIROBI ","1999-09-31","EXPIRED"
"5Y-DLA","CESSNA 208","20800107","CESSNA AIRCRAFT COMPANY","DESERT LOCUST CONTROL ORGANIZATIONP.O. BOX 30023, NAIROBI","1998-01-31","VALID"
"5Y-DLD","BEAVER MK III","1562-","DE-HAVILLAND AIRCRAFT OF CANADA","DESERT LOCUST CONTROL ORGANISATIONP.O. BOX 30023, NAIROBI","1991-06-31","VALID"
"5Y-DLO","BEECH BARON 58 TH","987","BEECH AIRCRAFT COMPANY","DESERT LOCUST CONTROL ORGANISATION, P.O. BOX 30023,, NAIROBI., ","1979-05-31","EXPIRED"
"5Y-DMS","PA 28 -236","DAKOTA","PIPER AIRCRAFT COMPANY","DR. DAVID MORTON SILVERTEINP.O. BOX 44807-00100NAIROBI","","VALID"
"5Y-DNM","CESSNA","402C","CESSNA AIRCRAFT COMPANY","GEOTEC ASSOCIATES P.O. BOX 22330NAIROBI.","","EXPIRED"
"5Y-DNT","SA 226 TC METRO II","TC-299","","EAGLE AVIATION LTD P.O. BOX 93926MOMBASA.","","EXPIRED"
"5Y-DOC","CESSNA 404","404-0433","CESSNA AIRCRAFT COMPANY","AFRICAN MEDICAL & RESEARCH FOUNDATION, P.O. BOX 30125NAIROBI.","","EXPIRED"
"5Y-DPS","SKYSTAR SERIES 6/7","S600004 –022","SYLAN ADAMSON","DAVID JOHN PENROSE, P. O. BOX 1452, NANYUKI, ","2004-07-31","EXPIRED"
"5Y-EAB","CESSNA 404","404-0088","CESSNA AIRCRAFT COMPANY","IBIS AVIATION LTDP.O. BOX 47518NAIROBI.","","EXPIRED"
"5Y-EAD","CESSNA 404","404-0056","CESSNA AIRCRAFT COMPANY","PRESTIGE AIR SERVICES LTD P.O. BOX 55358NAIROBI","","EXPIRED"
"5Y-EAS","CESSNA 402B","402B-0574","CESSNA AIRCRAFT COMPANY","ECTA KENYA LTD, P.O. BOX 46129, NAIROBI., ","1998-06-31","EXPIRED"
"5Y-EAT","PIPER PA32R-300","32R-7680294","PIPER AIRCRAFT COMPANY","FALCON AVIATION SERVICES P.O. BOX 71,MOMBASA.NAIROBI.","1991-10-31","EXPIRED"
"5Y-ECO","BEECH KINGAIR 200","BB-1343","BEECH AIRCRAFT COMPANY","AVIATION ASSISTANCE INTL. LTDP.O. BOX 79373,NAIROBI","","EXPIRED"
"5Y-EDM","MI-8MTB-I","MI-17","JSC KAZAN HELICOPTER PLANT","KENYA POLICE AIRWINGP. O. BOX 30083NAIROBI","1999-07-31","VALID"
"5Y-EEE","FOKKER F28-MK400","11229","FOKKER COMPANY","OWNER:NEVISON PROPERTIES LTD BOSTON HALL.BOSTON SPA YORKSHIRE LS236AD UNITED KINGDOM. LESSEE:EAST AFRICAN SAFARI AIR EXPRESS P.O. BOX 28321-00200 CITY SQUARE NAIROBI","2004-07-31","VALID"
"5Y-EGG","CESSNA 208B","C208-0476","CESSNA AIRCRAFT COMPANY","SOLENTA AVIATION (PTY) LTD P.O. BOX 469 LANSERIA 174B, LESSEE: FEDERAL AIR (PTY)LIMITED P.O. BOX 20400 DURBAN NORTH 4016 SOUTH AFRICA, SUB-LESSEE:AIRWORKS (K) LIMITED P.O. BOX 27508-00506 NAIROBI, FINANCIER: WESTBANK AVIATION FINANCE BOX 5234 JOHANNESBURG","2008-06-31","VALID"
"5Y-EHL","CESSNA 310R","310R-1226","CESSNA AIRCRAFT COMPANY","KENYA SCHOOL OF FLYING & KENYA COMMERCIAL FINANCE CO. LTD.P.O. BOX 74714NAIROBI.","1995-05-31","EXPIRED"
"5Y-EJS","CESSNA 404","404-0232","CESSNA AIRCRAFT COMPANY","COAST CAR HIRE TOURS LTD., MERCANTILE FINANCE CO.LTD.,P.O. BOX 99143, MOMBASA.","1986-07-31","EXPIRED"
"5Y-EKO","BEECH KINGAIR 200C","BL-2","BEECH AIRCRAFT COMPANY","OWNER: NIELS B. BRUEL, LANGEBARGERD DK-4772 LANGEBAEK DENMARK, LESSEE: AIR TRAFFIC LTD, P.O. BOX 989, 00606, , NAIROBI, ","2004-09-31","VALID"
"5Y-EMD","DHC-8-102","110","DE-HAVILLAND AIRCRAFT OF CANADA","OWNER: AEROCENTORY CORP , 14440 CHAPIN AVENUE SUITE ZIO, BUALINGAME, CALIFORNIA, FINANCIER NATIONAL CITY BANK, ONE SOUTH ROAD STREET, 14TH FLOOR 20C 01-5997 PHILADELPHIA , LESSEE: TRIDENT ENTERPRISES, P.O. BOX 13507 NAIROBI , ","2005-12-31","VALID"
"5Y-EMJ","GULFSTREAM G159","158","","MIA INTERNATIONALP. O. BOX 13501 NAIROBI","","EXPIRED"
"5Y-EMK","GUFLSTREAM G159","134","GULFSTREAM","OWNER: TRANS AIR CHARTER PTY. LTD P. O. BOX 5335, MBAMBANE SWAZILAND FINANCIER: FOURWAYS AVIATION PTY LTD 14 HOBART RD. BRYANSTON, R.S.A OPERATOR: AFRICAN COMMUTER SERVICES LTD P. O. BOX 2109-00200 NAIROBI, KENYA","2002-04-31","EXPIRED"
"5Y-ENA","DHC-8-102","297","BOEING OF CANADA ","OWNER: TRIDENT ENTERPRISES LTD, P. O. BOX 13501, NAIROBI , LESSEE: CMC AVIATION P.O. BOX 44580-00100 NAIROBI FINANCIER: EXPORT DEVELOPMENT CANADA 151 O'CONNER STREET OTTAWA KIA 1K3 CANADA","2008-11-31","VALID"
"5Y-ENT","TURBOLET 410A","302","LET A.S.KUNOVICE","EAGLE AVIATION LTD P. O. BOX 93926, MOMBASA FINANCIER: P.T.A. BANT EAST & SOUTHERN AFRICA TRADE & DEVELOPMENT BANKP O BOX 48596,NAIROBI","1998-12-31","EXPIRED"
"5Y-EOB","BEECH KINGAIR 200","BB-1305","BEECH AIRCRAFT COMPANY","OWNER: RAYTHEON AIRCRAFT RECEIVABLES CORP., EAST CENTRAL AVENUE 10511 67206 WICHITA, KANSAS, USA, LESSEE: AVIATION ASSISTANCE A/S, SOLHOJE AAROSVEJ 10, 4000 ROSKILDE DENMARK, SUB-LESSEE: AVIATION ASSISTANCE INTL. LTD, P.O. BOX 79373, NAIROBI, ","","EXPIRED"
"5Y-EOC","CESSNA 208B","208B-0737","CESSNA AIRCRAFT COMPANY","OWNER: EAST AFRICAN AIRCHARTERS LTDP.O. BOX 42730-00100 NAIROBI","2008-12-31","VALID"
